#SampleID	BarcodeSequence	LinkerPrimerSequence	SP	family_or_tribe	type	Code	Main_Diet	Diet_Category	Location	Basin	Heb	Lat	Lon	Date	Time	T	Conductivity  	ConductivityA	Salinity	PercentO	pH	Sampling site
AS75	AA	AA	OH	Tilapiinae	swab	tilapine hybrid	phytoplankton	C	AsiCemetery	S	ניר_דויד_בית_קברות			14/8/2017	15:55	31.67	3917		2.04	9.7	8.6	A
AS210	AA	AA	Oreochromis aureus	Tilapiinae	swab	Oreochromis	phytoplankton	C	lehavotHabashan	N	ירדן_גשר_להבות_הבשן	783686	259147	2/11/2017	07:30	17.0	332	282	0.16	8.37	7.47	J.1
AS211	AA	AA	Oreochromis aureus	Tilapiinae	swab	Oreochromis	phytoplankton	C	lehavotHabashan	N	ירדן_גשר_להבות_הבשן	783686	259147	2/11/2017	07:30	17.0	332	282	0.16	8.37	7.47	J.1
AS212	AA	AA	Oreochromis aureus	Tilapiinae	swab	Oreochromis	phytoplankton	C	lehavotHabashan	N	ירדן_גשר_להבות_הבשן	783686	259147	2/11/2017	07:30	17.0	332	282	0.16	8.37	7.47	J.1
AS213	AA	AA	Oreochromis aureus	Tilapiinae	swab	Oreochromis	phytoplankton	C	lehavotHabashan	N	ירדן_גשר_להבות_הבשן	783686	259147	2/11/2017	07:30	17.0	332	282	0.16	8.37	7.47	J.1
AS68	AA	AA	Tilapia zillii	Tilapiinae	swab	Tilapia	plants	C	TelSaharonSpring	S	תל_סהרון	251421	706367	14/8/2017	07:10	30.44	3080	3394	1.59	7.39	7.48	T.2
AS69	AA	AA	Tilapia zillii	Tilapiinae	swab	Tilapia	plants	C	TelSaharonSpring	S	תל_סהרון	251421	706367	14/8/2017	07:10	30.44	3080	3394	1.59	7.39	7.48	T.2
AS67	AA	AA	Tilapia zillii	Tilapiinae	swab	Tilapia	plants	C	TelSaharonSpring	S	תל_סהרון	251421	706367	14/8/2017	07:10	30.44	3080	3394	1.59	7.39	7.48	T.2
AS89	AA	AA	Tilapia zillii	Tilapiinae	swab	Tilapia	plants	C	AsiCemetery	S	ניר_דויד_בית_קברות			14/8/2017	15:55	31.67	3917		2.04	9.7	8.6	A
AS90	AA	AA	Tilapia zillii	Tilapiinae	swab	Tilapia	plants	C	AsiCemetery	S	ניר_דויד_בית_קברות			14/8/2017	15:55	31.67	3917		2.04	9.7	8.6	A
AS91	AA	AA	Tilapia zillii	Tilapiinae	swab	Tilapia	plants	C	AsiCemetery	S	ניר_דויד_בית_קברות			14/8/2017	15:55	31.67	3917		2.04	9.7	8.6	A
AS92	AA	AA	Tilapia zillii	Tilapiinae	swab	Tilapia	plants	C	AsiCemetery	S	ניר_דויד_בית_קברות			14/8/2017	15:55	31.67	3917		2.04	9.7	8.6	A
AS93	AA	AA	Tilapia zillii	Tilapiinae	swab	Tilapia	plants	C	AsiCemetery	S	ניר_דויד_בית_קברות			14/8/2017	15:55	31.67	3917		2.04	9.7	8.6	A
AS202	AA	AA	Tilapia zillii	Tilapiinae	swab	Tilapia	plants	C	AgmonHula	N	ירדן_תעלה_משוחזרת	781029	255760	2/11/2017	18:00	19.86	322	290	0.15	9.4		J.4
AS203	AA	AA	Tilapia zillii	Tilapiinae	swab	Tilapia	plants	C	AgmonHula	N	ירדן_תעלה_משוחזרת	781029	255760	2/11/2017	18:00	19.86	322	290	0.15	9.4		J.4
AS204	AA	AA	Tilapia zillii	Tilapiinae	swab	Tilapia	plants	C	AgmonHula	N	ירדן_תעלה_משוחזרת	781029	255760	2/11/2017	18:00	19.86	322	290	0.15	9.4		J.4
AS205	AA	AA	Tilapia zillii	Tilapiinae	swab	Tilapia	plants	C	AgmonHula	N	ירדן_תעלה_משוחזרת	781029	255760	2/11/2017	18:00	19.86	322	290	0.15	9.4		J.4
AS209	AA	AA	Tilapia zillii	Tilapiinae	swab	Tilapia	plants	C	lehavotHabashan	N	ירדן_גשר_להבות_הבשן	783686	259147	2/11/2017	07:30	17.0	332	282	0.16	8.37	7.47	J.1
AS237	AA	AA	Tilapia zillii	Tilapiinae	swab	Tilapia	plants	C	GomeJunction	N	ירדן_תעלה_מערבית_צומת_גומא	786108	253756	2/11/2017	11:00	20.0	477	432	0.23	5		J.3
AS238	AA	AA	Tilapia zillii	Tilapiinae	swab	Tilapia	plants	C	GomeJunction	N	ירדן_תעלה_מערבית_צומת_גומא	786108	253756	2/11/2017	11:00	20.0	477	432	0.23	5		J.3
AS239	AA	AA	Tilapia zillii	Tilapiinae	swab	Tilapia	plants	C	GomeJunction	N	ירדן_תעלה_מערבית_צומת_גומא	786108	253756	2/11/2017	11:00	20.0	477	432	0.23	5		J.3
AS240	AA	AA	Tilapia zillii	Tilapiinae	swab	Tilapia	plants	C	GomeJunction	N	ירדן_תעלה_מערבית_צומת_גומא	786108	253756	2/11/2017	11:00	20.0	477	432	0.23	5		J.3
AS165	AA	AA	Acanthobrama lissneri	Cyprinidae	swab	Acanthobrama lissneri	invertebrates	B	SnirDagAlHadanUpStrerm	N	שניר_שמורה_מעל_יוקי	792989	258339	1/10/2017	10:30	20.15	309	280	0.15	9.9	6.6	S.2
AS166	AA	AA	Acanthobrama lissneri	Cyprinidae	swab	Acanthobrama lissneri	invertebrates	B	SnirDagAlHadanUpStrerm	N	שניר_שמורה_מעל_יוקי	792989	258339	1/10/2017	10:30	20.15	309	280	0.15	9.9	6.6	S.2
AS184	AA	AA	Acanthobrama lissneri	Cyprinidae	swab	Acanthobrama lissneri	invertebrates	B	SnirYatedotDownstrerm	N	שניר_שמורה_ידיות	792989	258100	1/10/2017	09:30	19.25	286	255	0.14	10.24	6.6	S.3
