SampleNumber	Tile	NumberOfReadsRaw	NumberOfReadsPF
23	1113	196	172
24	1113	108	93
25	1113	46	42
26	1113	173	143
27	1113	178	121
28	1113	139	117
29	1113	197	168
30	1113	217	183
31	1113	375	314
32	1113	229	196
33	1113	39	32
34	1113	253	216
35	1113	263	228
36	1113	83	70
37	1113	428	352
38	1113	169	144
39	1113	245	204
40	1113	33	32
41	1113	189	173
42	1113	427	356
43	1113	918	784
44	1113	212	181
45	1113	84	75
46	1113	98	88
47	1113	28	25
48	1113	38	38
49	1113	122	108
50	1113	46604	41900
51	1113	196	167
52	1113	169	147
53	1113	364	324
54	1113	42	30
55	1113	165	160
56	1113	116	103
57	1113	35	30
58	1113	47	40
59	1113	31	22
60	1113	76	71
61	1113	143	122
62	1113	82	71
63	1113	76	61
64	1113	91	83
65	1113	24	22
66	1113	251	227
67	1113	120	102
68	1113	106	95
69	1113	129	116
70	1113	78	60
71	1113	267	240
72	1113	129	116
73	1113	32	27
74	1113	677	597
75	1113	500	434
76	1113	719	655
77	1113	517	477
78	1113	644	549
79	1113	417	351
80	1113	344	303
81	1113	57	52
82	1113	91	76
83	1113	38	29
84	1113	14	11
85	1113	66	59
86	1113	270	222
87	1113	213	184
88	1113	993	865
89	1113	62	50
90	1113	769	669
91	1113	149	123
92	1113	180	148
93	1113	299	276
94	1113	159	140
95	1113	203	180
96	1113	246	218
0	1114	624706	556453
1	1114	10	9
2	1114	113	99
3	1114	24	22
4	1114	33	31
5	1114	40	37
6	1114	10	10
7	1114	2	2
8	1114	6	5
9	1114	528	479
10	1114	847	760
11	1114	603	532
12	1114	323	272
13	1114	52	46
14	1114	256	216
15	1114	650	546
16	1114	307	259
17	1114	54	47
18	1114	295	268
19	1114	410	369
20	1114	107	89
21	1114	189	162
22	1114	188	162
23	1114	201	178
24	1114	146	127
25	1114	57	55
26	1114	177	146
27	1114	170	120
28	1114	137	117
29	1114	206	186
30	1114	213	184
31	1114	415	357
32	1114	233	202
33	1114	26	21
34	1114	259	215
35	1114	300	261
36	1114	78	72
37	1114	427	355
38	1114	145	126
39	1114	264	221
40	1114	38	35
41	1114	159	135
42	1114	381	337
43	1114	822	692
44	1114	247	211
45	1114	75	66
46	1114	82	70
47	1114	24	19
48	1114	36	34
49	1114	118	110
50	1114	46919	42272
51	1114	207	172
52	1114	155	139
53	1114	354	309
54	1114	37	23
55	1114	132	121
56	1114	98	91
57	1114	37	32
58	1114	38	30
59	1114	31	24
60	1114	83	73
61	1114	138	123
62	1114	77	66
63	1114	99	89
64	1114	73	67
65	1114	17	16
66	1114	257	232
67	1114	135	121
68	1114	76	69
69	1114	113	98
70	1114	80	74
71	1114	259	230
72	1114	150	127
73	1114	29	22
74	1114	695	594
75	1114	483	418
76	1114	622	557
77	1114	519	455
78	1114	627	537
79	1114	437	380
80	1114	358	305
81	1114	50	44
82	1114	106	90
83	1114	33	29
84	1114	13	13
85	1114	67	59
86	1114	254	210
87	1114	221	192
88	1114	982	877
89	1114	60	45
90	1114	767	646
91	1114	163	128
92	1114	207	186
93	1114	294	267
94	1114	141	127
95	1114	211	172
96	1114	275	235
0	2101	599856	558273
1	2101	4	4
2	2101	122	116
3	2101	20	16
4	2101	30	30
5	2101	51	45
6	2101	8	7
7	2101	4	3
8	2101	11	11
9	2101	578	531
10	2101	904	815
11	2101	620	569
12	2101	325	293
13	2101	77	66
14	2101	326	302
15	2101	919	819
16	2101	468	412
17	2101	73	68
18	2101	313	285
19	2101	404	368
20	2101	132	115
21	2101	225	218
22	2101	263	233
23	2101	294	269
24	2101	165	149
25	2101	76	65
26	2101	188	173
27	2101	196	163
28	2101	208	185
29	2101	254	230
30	2101	298	273
31	2101	455	418
